name,role,elected,termstart,termend,affiliation,link,photo
Phil Mendelson,Chair,1999,2019,2023,Democratic,,mendelson.jpg
Brianne Nadeau,Ward 1,2015,2019,2023,Democratic,,nadeau.jpg
Brooke Pinto,Ward 2,2020,2021,2025,Democratic,,pinto.jpg
Matthew Frumin,Ward 3,2022,2023,2027,Democratic,,frumin.jpg
Janeese Lewis George,Ward 4,2021,2021,2025,Democratic,,george.jpg
Zachary Parker,Ward 5,2022,2023,2027,Democratic,,parker.jpg
Charles Allen,Ward 6,2015,2019,2023,Democratic,,allen.jpg
Vincent Gray,Ward 7,2005,2021,2025,Democratic,,gray.jpg
Trayon White,Ward 8,2017,2021,2025,Democratic,,twhite.jpg
Anita Bonds,At-Large,2015,2019,2023,Democratic,,bonds.jpg
Kenyan McDuffie,At-Large,2012,2019,2023,Democratic,,mcduffie.jpg
Christina Henderson,At-Large,2021,2021,2025,Independent,,henderson.jpg
Robert White,At-Large,,2021,2025,Democratic,,rwhite.jpg